2020-12-20T00:44:55.091Z - info:   [1054658] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/testbase ***
2020-12-20T00:44:55.093Z - info:   [1054658] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2020-12-20T00:44:55.101Z - warn:   [1054658] TFVC Couldn't find where the TF command lives on disk.
2020-12-20T00:44:55.102Z - error:  [1054658] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-12-20T00:44:55.568Z - info:   [1054658] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/testbase ***
2020-12-20T00:44:55.569Z - info:   [1054658] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2020-12-20T00:44:55.569Z - warn:   [1054658] TFVC Couldn't find where the TF command lives on disk.
2020-12-20T00:44:55.570Z - error:  [1054658] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-12-20T22:24:07.717Z - info:   [1164176] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/testbase ***
2020-12-20T22:24:07.718Z - info:   [1164176] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2020-12-20T22:24:07.858Z - warn:   [1164176] TFVC Couldn't find where the TF command lives on disk.
2020-12-20T22:24:07.859Z - error:  [1164176] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
