2021-01-08T20:27:08.372Z - info:   [907627] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/tyler-1 ***
2021-01-08T20:27:08.373Z - info:   [907627] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2021-01-08T20:27:08.379Z - warn:   [907627] TFVC Couldn't find where the TF command lives on disk.
2021-01-08T20:27:08.379Z - error:  [907627] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2021-01-11T20:27:34.012Z - info:   [907627] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/tyler-1 ***
2021-01-11T20:27:34.012Z - info:   [907627] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2021-01-11T20:27:34.085Z - warn:   [907627] TFVC Couldn't find where the TF command lives on disk.
2021-01-11T20:27:34.147Z - error:  [907627] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2021-01-13T00:20:12.229Z - info:   [1519562] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/tyler-1 ***
2021-01-13T00:20:12.230Z - info:   [1519562] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2021-01-13T00:20:12.234Z - warn:   [1519562] TFVC Couldn't find where the TF command lives on disk.
2021-01-13T00:20:12.235Z - error:  [1519562] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2021-01-13T14:22:57.551Z - info:   [1519562] *** FOLDER: /home/marciomafidejurodrigues/Projects/React/tyler-1 ***
2021-01-13T14:22:57.560Z - info:   [1519562] AzureReposVSCode/1.161.1 (VSCode 1.49.0; Linux 5.8.8-200.fc32.x86_64; Node 12.14.1)
2021-01-13T14:22:57.587Z - warn:   [1519562] TFVC Couldn't find where the TF command lives on disk.
2021-01-13T14:22:57.692Z - error:  [1519562] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
